english	tokipona
(part) (emphasis, emotion or confirmation)	a or kin
(n) non-cute animal; reptile, amphibian	akesi
(adj) no, not, zero	ala
(v) to hunt, forage	alasa
(adj) all; abundant, countless, bountifull, every, plentifull	ale or ali
(n) abundance, everything, life, universe	ale or ali
(num) 100	ale or ali
(adj) bowing down, downward, humble, lowly, dependent	anpa
(adj) different, altered, changed, other	ante
(part) of	anu
(adj) enduring, kept, protected, safe, waiting, staying	awen
(pre)(v) to continue to	awen
(part) (before the direct object)	e
(part) (between multiple subjects)	en
(n) market, shop, fair, bazaar, business transaction	esun
(n) thing, phenomenon, object, matter	ijo
(adj) bad, negative; non-essential, irrelevant	ike
(n) tool, implement, machine, device	ilo
(n) centre, content, inside, between; internal organ, stomach	insa
(adj) disgusting, obscene	jaki
(n) human being, person, somebody	jan
yellow, yellowish	jelo
to have, carry, contain, hold	jo
(n) fish, marine animal, sea creature	kala
(v) to produce a sound; recite, utter aloud	kalama
(adj) arriving, coming, future, summoned	kama
(pre)-(v) to become, manage to, succeed in	kama
(n) plant, vegetation; herb, leaf	kasi
(pre)-(v) to be able to, be allowed to, can, may	ken
(adj) possible	ken
(pre)-(v) to use, with, by means of	kepeken
(n) fruit, vegetable, mushroom	kili
(n) hard object, metal, rock, stone	kiwen
(n) clay, clinging form, dough, semi-solid, paste, powder	ko
(n) air, breath; essence, spirit; hidden reality, unseen agent	kon
(adj) colourful, pigmented, painted	kule
(n) community, company, group, nation, society, tribe	kulupu
(n) ear	kute
(v) to hear, listen;pay attention to, obey	kute
(part) (between the context phrase and the main sentence)	la
(adj) sleep, resting	lape
(adj) blue, green	laso
(n) head, mind	lawa
(v) to control, direct, guide, lead, own, plan, regulate, rule	lawa
(n) cloth, clothing, fabric, textile, cover, layer of privacy	len
(adj)  cold, cool; uncooked, raw	lete
(part) (between any subject except  mi alone or sina alone and its (v); also to introduce a new (v) for the same subject)	li
(adj) little, small, short; few; a bit; young	lili
(n) long and flexible thing; cord, hair rope, thread, yarn	linja
(n) flat object; book, document, card, paper, record, website	lipu
(adj) red, redish	loje
(pre)P located at, (pre)sent at, real, true, existing	lon
(n) arm, hand, tactile organ	luka
(v) to look at, see, examine, observe, read, watch	luka
(n) eye	lukin or oko(
(v) to look at, see, examine, observe, read, watch	lukin or oko
(pre)-(v) to seek, look for, try to	lukin or oko
(n) door, hole, orifice, window	lupa
(n) earth, land,; outdoors, world; country, territory,; soil	ma
(n) parent, ancestor; creator, originator; caretaker, sustainer	mama
(n) money, cash, savings, wealth; large domesticated animal	mani
(n) woman, female, feminine person; wife	meli
(n) I, me,  we, us	mi
(n) man male, masculine person,; husband	mije
(v) to eat, drink, consume, swallow, ingest	moku
(adj)  dead, dying	moli 
(n) back, behind, rear	monsi
(part) (animal noise or communication)	mu
(n) moon, night sky object, star	mun
(adj) artistic, entertaining, frivolous, playful, recreational	musi
(adj) many, a lot, more, much, several, very	mute
(n) quantity	mute
(part -th (ordinal (num))	nanpa
(n)  (num)s	nanpa
(adj) unusual, strange; foolish, crazy; drunk, intoxicated	nasa
(n)  way, custom, doctrine, method, path, road	nasin
(n)  bump, button, hill, mountain, nose, protuberance	nena
(adj)  that, this	ni
(n)  name, word	nimi
(n)  foot, leg, organ of locomotion; bottom, lower (part)	noka
(part) hey! O! (vocative or imperative)	o
(v) to love, have compassion for, respect, show affection to	olin
(n) he, she, it, they	ona
(v) to begin, start; open; turn on	open
(adj) botched, broken, damaged, harmed, messed up	pakala
(v) to do, take action on, work on; build, make, (pre)pare	pali 
(n) long hard thing; branch, rod, stick	palisa
(n) cereal, grain; barley, corn, oat, rice, wheat; bread, pasta	pan
(v) to give, send, emit, provide, put, release	pana
(part)  of	pi
(n) heart (physical or emotional)	pilin
(adj) feeling (an emotion, a direct experience)	pilin
